time,log_type,sat,time_s
2024-07-04 14:40:36.855,deploy_start,1-685,0.0
2024-07-04 14:41:17.290,deploy_complete,1-685,40.435
2024-07-04 14:41:17.293,switch_sensor21415,1-685,40.438
2024-07-04 14:41:17.294,switch_sensor21418,1-685,40.439
2024-07-04 14:41:17.296,switch_sensor46413,1-685,40.441
2024-07-04 14:41:17.297,switch_sensor46490,1-685,40.442
2024-07-04 14:41:17.292,switch_sensor46415,1-685,40.437
2024-07-04 14:41:17.298,switch_sensor21d13,1-685,40.443
2024-07-04 14:41:17.301,switch_sensor46419,1-685,40.446
2024-07-04 14:41:17.302,switch_sensor46d16,1-685,40.447
2024-07-04 14:41:17.300,switch_sensor46408,1-685,40.445
2024-07-04 14:41:17.305,switch_sensor46452,1-685,40.45
2024-07-04 14:41:17.304,switch_sensor21419,1-685,40.449
2024-07-04 14:41:17.307,switch_sensor46414,1-685,40.452
2024-07-04 14:41:17.309,switch_sensor21416,1-685,40.454
2024-07-04 14:41:17.312,switch_sensor46402,1-685,40.457
2024-07-04 14:41:17.311,switch_sensor46409,1-685,40.456
2024-07-04 14:41:17.310,switch_sensor46410,1-685,40.455
2024-07-04 14:41:17.315,switch_sensor21414,1-685,40.46
2024-07-04 14:41:17.314,switch_sensor21413,1-685,40.459
2024-07-04 14:41:17.414,switch_sensor46411,1-685,40.559
2024-07-04 14:41:17.416,switch_sensor46416,1-685,40.561
2024-07-04 14:41:17.417,switch_sensor46401,1-685,40.562
2024-07-04 14:41:17.416,switch_sensor46405,1-685,40.561
2024-07-04 14:41:17.419,switch_sensor21417,1-685,40.564
2024-07-04 14:41:17.420,switch_sensor46d02,1-685,40.565
2024-07-04 14:41:17.422,switch_sensor46403,1-685,40.567
2024-07-04 14:41:17.423,switch_sensor46451,1-685,40.568
2024-07-04 14:41:17.425,switch_sensor46412,1-685,40.57
2024-07-04 14:41:17.432,switch_sensor46d04,1-685,40.577
2024-07-04 14:41:17.432,switch_sensor46404,1-685,40.577
2024-07-04 14:41:17.500,switch_sensor46407,1-685,40.645
2024-07-04 14:43:43.192,deploy_start,1-706,186.337
2024-07-04 14:44:25.599,deploy_complete,1-706,228.744
2024-07-04 14:44:25.601,switch_sensor46415,1-706,228.746
2024-07-04 14:44:25.602,switch_sensor21415,1-706,228.747
2024-07-04 14:44:25.604,switch_sensor46413,1-706,228.749
2024-07-04 14:44:25.605,switch_sensor46490,1-706,228.75
2024-07-04 14:44:25.607,switch_sensor21d13,1-706,228.752
2024-07-04 14:44:25.608,switch_sensor46407,1-706,228.753
2024-07-04 14:44:25.610,switch_sensor46419,1-706,228.755
2024-07-04 14:44:25.609,switch_sensor46408,1-706,228.754
2024-07-04 14:44:25.613,switch_sensor21419,1-706,228.758
2024-07-04 14:44:25.614,switch_sensor46452,1-706,228.759
2024-07-04 14:44:25.617,switch_sensor46414,1-706,228.762
2024-07-04 14:44:25.612,switch_sensor46d16,1-706,228.757
2024-07-04 14:44:25.620,switch_sensor21416,1-706,228.765
2024-07-04 14:44:25.621,switch_sensor46402,1-706,228.766
2024-07-04 14:44:25.618,switch_sensor46409,1-706,228.763
2024-07-04 14:44:25.619,switch_sensor46410,1-706,228.764
2024-07-04 14:44:25.623,switch_sensor21413,1-706,228.768
2024-07-04 14:44:25.624,switch_sensor21414,1-706,228.769
2024-07-04 14:44:25.723,switch_sensor46411,1-706,228.868
2024-07-04 14:44:25.725,switch_sensor46405,1-706,228.87
2024-07-04 14:44:25.727,switch_sensor46401,1-706,228.872
2024-07-04 14:44:25.729,switch_sensor21417,1-706,228.874
2024-07-04 14:44:25.730,switch_sensor46d02,1-706,228.875
2024-07-04 14:44:25.731,switch_sensor46403,1-706,228.876
2024-07-04 14:44:25.726,switch_sensor46416,1-706,228.871
2024-07-04 14:44:25.734,switch_sensor46412,1-706,228.879
2024-07-04 14:44:25.735,switch_sensor46404,1-706,228.88
2024-07-04 14:44:25.733,switch_sensor46451,1-706,228.878
2024-07-04 14:44:25.736,undeploy_start,1-685,228.881
2024-07-04 14:44:25.738,switch_sensor46d04,1-706,228.883
2024-07-04 14:44:25.808,switch_sensor21418,1-706,228.953
2024-07-04 14:44:27.215,undeploy_complete,1-685,230.36
