time_x,client_no,response_time,is_success,host,time_s,time_y,sat,distance
2024-07-05 13:04:03.932059,46414,0.092511,True,685,47.201059,2024-07-05 13:04:03.919,1-685,2076.0
2024-07-05 13:04:04.161666,46d02,0.070699,True,685,47.430666,2024-07-05 13:04:03.915,1-685,4019.0
2024-07-05 13:04:04.167068,46404,0.035068,True,685,47.436068,2024-07-05 13:04:03.916,1-685,7446.0
2024-07-05 13:04:04.168135,46407,0.063591,True,685,47.437135,2024-07-05 13:04:03.915,1-685,8800.0
2024-07-05 13:04:04.170919,46408,0.216537,True,685,47.439919,2024-07-05 13:04:03.915,1-685,5283.0
2024-07-05 13:04:04.171168,46405,0.103252,True,685,47.440168,2024-07-05 13:04:04.005,1-685,9137.0
2024-07-05 13:04:04.187532,21419,0.148847,True,685,47.456532,2024-07-05 13:04:03.914,1-685,15156.0
2024-07-05 13:04:04.188503,21418,0.346777,True,685,47.457503,2024-07-05 13:04:03.914,1-685,23174.0
2024-07-05 13:04:05.226847,46d04,0.0,False,685,48.495847,2024-07-05 13:04:04.006,1-685,7433.0
2024-07-05 13:04:05.228418,21413,0.0,False,685,48.497418,2024-07-05 13:04:03.916,1-685,25513.0
2024-07-05 13:04:05.238505,46452,0.0,False,685,48.507505,2024-07-05 13:04:03.917,1-685,8511.0
2024-07-05 13:04:05.305770,21414,0.0,False,685,48.57477,2024-07-05 13:04:03.909,1-685,8283.0
2024-07-05 13:04:05.337408,46403,0.0,False,685,48.606408,2024-07-05 13:04:03.917,1-685,2321.0
2024-07-05 13:04:05.346724,21415,0.0,False,685,48.615724,2024-07-05 13:04:03.918,1-685,9470.0
2024-07-05 13:04:05.367938,46411,0.949152,True,685,48.636938,2024-07-05 13:04:03.910,1-685,9813.0
2024-07-05 13:04:05.369280,46410,0.984137,True,685,48.63828,2024-07-05 13:04:03.918,1-685,3244.0
2024-07-05 13:04:05.371177,46402,0.916168,True,685,48.640177,2024-07-05 13:04:03.910,1-685,4010.0
2024-07-05 13:04:05.388057,46490,0.0,False,685,48.657057,2024-07-05 13:04:04.006,1-685,17393.0
2024-07-05 13:04:05.451797,46409,0.812131,True,685,48.720797,2024-07-05 13:04:03.912,1-685,2743.0
2024-07-05 13:04:05.452578,46451,0.980788,True,685,48.721578,2024-07-05 13:04:03.918,1-685,8514.0
2024-07-05 13:04:05.455163,46413,0.863548,True,685,48.724163,2024-07-05 13:04:03.912,1-685,6615.0
2024-07-05 13:04:05.460249,46415,0.0,False,685,48.729249,2024-07-05 13:04:03.911,1-685,3234.0
2024-07-05 13:04:05.465580,21417,0.874071,True,685,48.73458,2024-07-05 13:04:03.919,1-685,15423.0
2024-07-05 13:04:05.467756,21416,0.927558,True,685,48.736756,2024-07-05 13:04:03.911,1-685,11848.0
2024-07-05 13:04:05.469801,46412,0.947506,True,685,48.738801,2024-07-05 13:04:03.918,1-685,17433.0
2024-07-05 13:04:05.521711,46419,0.87546,True,685,48.790711,2024-07-05 13:04:03.913,1-685,6212.0
2024-07-05 13:04:05.541128,21d13,0.894696,True,685,48.810128,2024-07-05 13:04:03.912,1-685,25515.0
2024-07-05 13:04:05.760992,46401,0.023919,True,685,49.029992,2024-07-05 13:04:03.913,1-685,6755.0
2024-07-05 13:04:05.768080,46d16,0.024155,True,685,49.03708,2024-07-05 13:04:03.914,1-685,4973.0
