time,client,sat,distance,time_s
2024-07-05 13:04:03.909,sensor21414',1-685,8283.0,47.178
2024-07-05 13:04:03.910,sensor46411',1-685,9813.0,47.179
2024-07-05 13:04:03.910,sensor46402',1-685,4010.0,47.179
2024-07-05 13:04:03.911,sensor46415',1-685,3234.0,47.18
2024-07-05 13:04:03.911,sensor21416',1-685,11848.0,47.18
2024-07-05 13:04:03.912,sensor21d13',1-685,25515.0,47.181
2024-07-05 13:04:03.912,sensor46413',1-685,6615.0,47.181
2024-07-05 13:04:03.912,sensor46409',1-685,2743.0,47.181
2024-07-05 13:04:03.913,sensor46419',1-685,6212.0,47.182
2024-07-05 13:04:03.913,sensor46401',1-685,6755.0,47.182
2024-07-05 13:04:03.914,sensor21418',1-685,23174.0,47.183
2024-07-05 13:04:03.914,sensor46d16',1-685,4973.0,47.183
2024-07-05 13:04:03.914,sensor21419',1-685,15156.0,47.183
2024-07-05 13:04:03.915,sensor46407',1-685,8800.0,47.184
2024-07-05 13:04:03.915,sensor46408',1-685,5283.0,47.184
2024-07-05 13:04:03.915,sensor46d02',1-685,4019.0,47.184
2024-07-05 13:04:03.916,sensor46404',1-685,7446.0,47.185
2024-07-05 13:04:03.916,sensor21413',1-685,25513.0,47.185
2024-07-05 13:04:03.917,sensor46452',1-685,8511.0,47.186
2024-07-05 13:04:03.917,sensor46403',1-685,2321.0,47.186
2024-07-05 13:04:03.918,sensor21415',1-685,9470.0,47.187
2024-07-05 13:04:03.918,sensor46410',1-685,3244.0,47.187
2024-07-05 13:04:03.918,sensor46451',1-685,8514.0,47.187
2024-07-05 13:04:03.918,sensor46412',1-685,17433.0,47.187
2024-07-05 13:04:03.919,sensor21417',1-685,15423.0,47.188
2024-07-05 13:04:03.919,sensor46416',1-685,4968.0,47.188
2024-07-05 13:04:03.919,sensor46414',1-685,2076.0,47.188
2024-07-05 13:04:04.005,sensor46405',1-685,9137.0,47.274
2024-07-05 13:04:04.006,sensor46d04',1-685,7433.0,47.275
2024-07-05 13:04:04.006,sensor46490',1-685,17393.0,47.275
2024-07-05 13:04:06.106,sensor21414',1-685,8283.0,49.375
2024-07-05 13:04:06.108,sensor46411',1-685,9813.0,49.377
2024-07-05 13:04:06.108,sensor46402',1-685,4010.0,49.377
2024-07-05 13:04:06.108,sensor46415',1-685,3234.0,49.377
2024-07-05 13:04:06.109,sensor21416',1-685,12363.0,49.378
2024-07-05 13:04:06.109,sensor21d13',1-685,25515.0,49.378
2024-07-05 13:04:06.109,sensor46413',1-685,6615.0,49.378
2024-07-05 13:04:06.110,sensor46409',1-685,2743.0,49.379
2024-07-05 13:04:06.110,sensor46419',1-685,6212.0,49.379
2024-07-05 13:04:06.111,sensor46401',1-685,6755.0,49.38
2024-07-05 13:04:06.111,sensor21418',1-685,23174.0,49.38
2024-07-05 13:04:06.111,sensor46d16',1-685,4973.0,49.38
2024-07-05 13:04:06.112,sensor21419',1-685,15156.0,49.381
2024-07-05 13:04:06.112,sensor46407',1-685,8800.0,49.381
2024-07-05 13:04:06.112,sensor46408',1-685,5283.0,49.381
2024-07-05 13:04:06.113,sensor46d02',1-685,4019.0,49.382
2024-07-05 13:04:06.114,sensor46404',1-685,7446.0,49.383
2024-07-05 13:04:06.114,sensor21413',1-685,25513.0,49.383
2024-07-05 13:04:06.114,sensor46452',1-685,8511.0,49.383
2024-07-05 13:04:06.115,sensor46403',1-685,2321.0,49.384
2024-07-05 13:04:06.115,sensor21415',1-685,9470.0,49.384
2024-07-05 13:04:06.115,sensor46410',1-685,3244.0,49.384
2024-07-05 13:04:06.116,sensor46451',1-685,8514.0,49.385
2024-07-05 13:04:06.116,sensor46412',1-685,17433.0,49.385
2024-07-05 13:04:06.117,sensor21417',1-685,15423.0,49.386
2024-07-05 13:04:06.117,sensor46416',1-685,4461.0,49.386
2024-07-05 13:04:06.118,sensor46414',1-685,2076.0,49.387
2024-07-05 13:04:06.206,sensor46405',1-685,9137.0,49.475
2024-07-05 13:04:06.206,sensor46d04',1-685,7433.0,49.475
2024-07-05 13:04:06.206,sensor46490',1-685,17393.0,49.475
2024-07-05 13:04:08.439,sensor21414',1-685,8283.0,51.708
2024-07-05 13:04:08.440,sensor46411',1-685,9813.0,51.709
2024-07-05 13:04:08.440,sensor46402',1-685,4010.0,51.709
2024-07-05 13:04:08.440,sensor46415',1-685,3234.0,51.709
2024-07-05 13:04:08.441,sensor21416',1-685,12363.0,51.71
2024-07-05 13:04:08.442,sensor21d13',1-685,25515.0,51.711
2024-07-05 13:04:08.442,sensor46413',1-685,6615.0,51.711
2024-07-05 13:04:08.442,sensor46409',1-685,2743.0,51.711
2024-07-05 13:04:08.443,sensor46419',1-685,6212.0,51.712
2024-07-05 13:04:08.443,sensor46401',1-685,6755.0,51.712
2024-07-05 13:04:08.443,sensor21418',1-685,23174.0,51.712
2024-07-05 13:04:08.444,sensor46d16',1-685,4466.0,51.713
2024-07-05 13:04:08.444,sensor21419',1-685,15156.0,51.713
2024-07-05 13:04:08.444,sensor46407',1-685,8800.0,51.713
2024-07-05 13:04:08.445,sensor46408',1-685,5283.0,51.714
2024-07-05 13:04:08.445,sensor46d02',1-685,4019.0,51.714
2024-07-05 13:04:08.446,sensor46404',1-685,7446.0,51.715
2024-07-05 13:04:08.446,sensor21413',1-685,25513.0,51.715
2024-07-05 13:04:08.447,sensor46452',1-685,8511.0,51.716
2024-07-05 13:04:08.447,sensor46403',1-685,2321.0,51.716
2024-07-05 13:04:08.447,sensor21415',1-685,10009.0,51.716
2024-07-05 13:04:08.448,sensor46410',1-685,3244.0,51.717
2024-07-05 13:04:08.448,sensor46451',1-685,8514.0,51.717
2024-07-05 13:04:08.449,sensor46412',1-685,17433.0,51.718
2024-07-05 13:04:08.449,sensor21417',1-685,15423.0,51.718
2024-07-05 13:04:08.450,sensor46416',1-685,4461.0,51.719
2024-07-05 13:04:08.450,sensor46414',1-685,2076.0,51.719
2024-07-05 13:04:08.537,sensor46405',1-685,9137.0,51.806
2024-07-05 13:04:08.538,sensor46d04',1-685,7433.0,51.807
2024-07-05 13:04:08.538,sensor46490',1-685,17393.0,51.807
2024-07-05 13:04:10.952,sensor21414',1-685,8283.0,54.221
2024-07-05 13:04:10.953,sensor46411',1-685,9813.0,54.222
2024-07-05 13:04:10.954,sensor46402',1-685,4010.0,54.223
2024-07-05 13:04:10.954,sensor46415',1-685,3234.0,54.223
2024-07-05 13:04:10.955,sensor21416',1-685,12363.0,54.224
2024-07-05 13:04:10.955,sensor21d13',1-685,25515.0,54.224
2024-07-05 13:04:10.955,sensor46413',1-685,6615.0,54.224
2024-07-05 13:04:10.956,sensor46409',1-685,2743.0,54.225
2024-07-05 13:04:10.956,sensor46419',1-685,6212.0,54.225
2024-07-05 13:04:10.956,sensor46401',1-685,6755.0,54.225
2024-07-05 13:04:10.957,sensor21418',1-685,23174.0,54.226
2024-07-05 13:04:10.958,sensor46d16',1-685,4466.0,54.227
2024-07-05 13:04:10.958,sensor21419',1-685,15156.0,54.227
2024-07-05 13:04:10.958,sensor46407',1-685,8800.0,54.227
2024-07-05 13:04:10.959,sensor46408',1-685,5283.0,54.228
2024-07-05 13:04:10.959,sensor46d02',1-685,4019.0,54.228
2024-07-05 13:04:10.959,sensor46404',1-685,7446.0,54.228
2024-07-05 13:04:10.960,sensor21413',1-685,25513.0,54.229
2024-07-05 13:04:10.960,sensor46452',1-685,8511.0,54.229
2024-07-05 13:04:10.961,sensor46403',1-685,2321.0,54.23
2024-07-05 13:04:10.961,sensor21415',1-685,10009.0,54.23
2024-07-05 13:04:10.962,sensor46410',1-685,3244.0,54.231
2024-07-05 13:04:10.962,sensor46451',1-685,8514.0,54.231
2024-07-05 13:04:10.962,sensor46412',1-685,17433.0,54.231
2024-07-05 13:04:10.963,sensor21417',1-685,15423.0,54.232
2024-07-05 13:04:10.963,sensor46416',1-685,4461.0,54.232
2024-07-05 13:04:10.964,sensor46414',1-685,2076.0,54.233
2024-07-05 13:04:11.050,sensor46405',1-685,9137.0,54.319
2024-07-05 13:04:11.051,sensor46d04',1-685,7433.0,54.32
2024-07-05 13:04:11.051,sensor46490',1-685,17393.0,54.32
2024-07-05 13:04:13.397,sensor21414',1-685,8283.0,56.666
2024-07-05 13:04:13.401,sensor46411',1-685,9813.0,56.67
2024-07-05 13:04:13.406,sensor46402',1-685,4010.0,56.675
2024-07-05 13:04:13.410,sensor46415',1-685,3234.0,56.679
2024-07-05 13:04:13.415,sensor21416',1-685,12564.0,56.684
2024-07-05 13:04:13.419,sensor21d13',1-685,25515.0,56.688
2024-07-05 13:04:13.423,sensor46413',1-685,6615.0,56.692
2024-07-05 13:04:13.429,sensor46409',1-685,2743.0,56.698
2024-07-05 13:04:13.433,sensor46419',1-685,6212.0,56.702
2024-07-05 13:04:13.438,sensor46401',1-685,6755.0,56.707
2024-07-05 13:04:13.443,sensor21418',1-685,23174.0,56.712
2024-07-05 13:04:13.447,sensor46d16',1-685,4466.0,56.716
2024-07-05 13:04:13.452,sensor21419',1-685,15156.0,56.721
2024-07-05 13:04:13.457,sensor46407',1-685,8800.0,56.726
2024-07-05 13:04:13.462,sensor46408',1-685,5283.0,56.731
2024-07-05 13:04:13.467,sensor46d02',1-685,4019.0,56.736
2024-07-05 13:04:13.471,sensor46404',1-685,7446.0,56.74
2024-07-05 13:04:13.476,sensor21413',1-685,25513.0,56.745
2024-07-05 13:04:13.480,sensor46452',1-685,8511.0,56.749
2024-07-05 13:04:13.485,sensor46403',1-685,2321.0,56.754
2024-07-05 13:04:13.489,sensor21415',1-685,10009.0,56.758
2024-07-05 13:04:13.494,sensor46410',1-685,3244.0,56.763
2024-07-05 13:04:13.498,sensor46451',1-685,8514.0,56.767
2024-07-05 13:04:13.502,sensor46412',1-685,17433.0,56.771
2024-07-05 13:04:13.506,sensor21417',1-685,15423.0,56.775
2024-07-05 13:04:13.511,sensor46416',1-685,4461.0,56.78
2024-07-05 13:04:13.515,sensor46414',1-685,2076.0,56.784
2024-07-05 13:04:13.519,sensor46405',1-685,9137.0,56.788
