# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
0y2w3|CG|Weather Station||Sturgeon Bay CG Station, WI||44.794 N 87.313 W (44&#176;47'39" N 87&#176;18'48" W)|C| |
13001|PR|Atlas Buoy|PM-595|NE Extension||12.000 N 23.000 W (12&#176;0'0" N 23&#176;0'0" W)|| |
13002|PR|Atlas Buoy||NE Extension||21.000 N 23.000 W (21&#176;0'0" N 23&#176;0'0" W)|| |
13008|PR|Atlas Buoy|PM-531|Reggae||15.000 N 38.000 W (15&#176;0'0" N 38&#176;0'0" W)|| |
13009|PR|Atlas Buoy|PM-533|Lambada||8.000 N 38.000 W (8&#176;0'0" N 38&#176;0'0" W)|| |
13010|PR|Atlas Buoy|PM-590|Soul||0.000 N 0.000 E (0&#176;0'0" N 0&#176;0'0" W)|| |
14040|RM|Atlas Buoy||||8.000 S 67.000 E (8&#176;0'0" S 67&#176;0'0" E)|| |
14041|RM|Atlas Buoy||||8.000 S 55.000 E (8&#176;0'0" S 55&#176;0'0" E)|| |
14043|RM|Atlas Buoy||||12.000 S 67.000 E (12&#176;0'0" S 67&#176;0'0" E)|| |
14047|RM|Atlas Buoy||||4.000 S 57.000 E (4&#176;0'0" S 57&#176;0'0" E)|| |
14048|RM|Atlas Buoy||||8.000 S 65.000 E (8&#176;0'0" S 65&#176;0'0" E)|| |
14049|RM|Atlas Buoy||||12.000 S 65.000 E (12&#176;0'0" S 65&#176;0'0" E)|| |
15001|PR|Atlas Buoy|PM-597|Gavotte||10.000 S 10.000 W (10&#176;0'0" S 10&#176;0'0" W)|| |
15002|PR|Atlas Buoy|PM-591|Java||0.000 N 10.000 W (0&#176;0'0" N 10&#176;0'0" W)|| |
15006|PR|Atlas Buoy|PM-593|Valse||6.000 S 10.000 W (6&#176;0'0" S 10&#176;0'0" W)|| |
15007|PR|Atlas Buoy|PM-605A|SE Extension||6.000 S 8.000 E (6&#176;0'0" S 8&#176;0'0" E)|| |
15008|PR|||||20.000 S 10.000 W (20&#176;0'0" S 10&#176;0'0" W)|| |
15009|PR|||||0.000 N 3.051 W (0&#176;0'0" N 3&#176;3'3" W)|| |
1801583|N|Uncrewed Surface Vehicle|SD1063|SD 1063 - 24 NM SSW of San Francisco, CA (Site of 46012)|Saildrone Explorer|37.356 N 122.881 W (37&#176;21'20" N 122&#176;52'51" W)|P|FZUS56.KMTR |Data from the previous saildrone (1801589) from 0000Z, 9/1/23 to 2359Z, 4/25/24 can be found <a title="1801589" href="https://www.ndbc.noaa.gov/station_page.php?station=1801589">here</a>.
1801589|N|Uncrewed Surface Vehicle|SD1073|SD 1073 - 24 NM SSW of San Francisco, CA (Site of 46012)|Saildrone Explorer|37.356 N 122.881 W (37&#176;21'20" N 122&#176;52'51" W)|P|FZUS56.KMTR |SD-1073 was replaced on 0000Z, 4/26/24 with SD-1063. Data from SD-1063 can be found <a href="https://www.ndbc.noaa.gov/station_page.php?station=1801583" target="_blank">here.</a>
18ci3|CG|Weather Station||Michigan City CG Station, IN||41.730 N 86.910 W (41&#176;43'48" N 86&#176;54'36" W)|E| |
18cy3|CE|C-MAN Station||Michigan City, IN||41.730 N 86.910 W (41&#176;43'48" N 86&#176;54'36" W)|E| |
20cm4|CG|Weather Station||St. Joseph CG Station, MI||42.090 N 86.490 W (42&#176;5'24" N 86&#176;29'24" W)|E| |
21178|JM|Buoy||South of Shikoku||33.120 N 133.620 E (33&#176;7'12" N 133&#176;37'12" E)|?| |
21346|JM|STB - SAIC Tsunami Buoy||21346  380km East of Iwate, Japan|STB payload|40.302 N 146.192 E (40&#176;18'9" N 146&#176;11'32" E)|| |Data from these stations was discontinued &nbsp;00:00Z&nbsp;on&nbsp;1 Sep 2016. station disestablished.&nbsp;
21347|JM|STB - SAIC Tsunami Buoy||21347  320km East of Iwate, Japan|STB payload|39.601 N 145.799 E (39&#176;36'5" N 145&#176;47'58" E)|| |Data from these stations was discontinued &nbsp;00:00Z&nbsp;on&nbsp;1 Sep 2016. Station disestablished.
21348|JM|STB - SAIC Tsunami Buoy||21348   350km East of Miyagi, Japan|STB payload|38.816 N 145.595 E (38&#176;48'58" N 145&#176;35'42" E)|| |Data from these stations was discontinued 00:00Z&nbsp;on&nbsp;1 Sep 2016. Station disestablished
21401|HY|STB - SAIC Tsunami Buoy||250NM Southeast of Iturup Island|STB payload|42.617 N 152.583 E (42&#176;37'0" N 152&#176;35'0" E)|?| |This station was established on 11/08/2010.
21402|HY|ETD||286NM East of Simushir Island|ETD payload|46.488 N 158.343 E (46&#176;29'15" N 158&#176;20'36" E)|| |Deployed 9/29/2012
21413|N|2.6-meter discus buoy|2.6D75|SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP|DART 4G payload|30.511 N 152.107 E (30&#176;30'41" N 152&#176;6'25" E)|?| |
21414|N|2.6-meter discus buoy|2.6D70| AMCHITKA - 170 NM South of Amchitka, AK|DART II payload|48.977 N 178.199 E (48&#176;58'38" N 178&#176;11'58" E)|?| |
21415|N|2.6-meter discus buoy|2.6D74|ATTU - 175 NM South of Attu, AK|DART II payload|50.111 N 171.874 E (50&#176;6'40" N 171&#176;52'25" E)|?| |
21416|N|2.6-meter discus buoy|2.6D27|KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU |DART II payload|48.120 N 163.430 E (48&#176;7'12" N 163&#176;25'48" E)|?| |
21417|N|2.6-meter discus buoy|26D38|290NM SE of the Kuril Islands|DART II payload|43.192 N 157.142 E (43&#176;11'30" N 157&#176;8'30" E)|?| |<p>Station 21417 has been disestablished 7/05/2009, replaced by station 21419 92NM to the Northeast.</p>
21418|N|2.6-meter discus buoy|2.6D21|NORTHEAST TOKYO - 450 NM NE of Tokyo, JP|DART II payload|38.764 N 148.808 E (38&#176;45'50" N 148&#176;48'27" E)|?| |
21419|N|2.6-meter discus buoy|2.6D94|KURIL ISLANDS - 209NM SE of Kuril Is. |DART II payload|44.401 N 155.653 E (44&#176;24'4" N 155&#176;39'12" E)|P| |
21420|N|2.6-meter discus buoy|2.6D60|SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki|DART II payload|28.910 N 134.999 E (28&#176;54'36" N 134&#176;59'55" E)|| |
21595|JM|Drifting Buoy||Drifter||36.700 N 132.167 W (36&#176;42'0" N 132&#176;10'0" W)|?| |
21597|JM|Drifting Buoy||Drifter||32.800 N 155.200 E (32&#176;48'0" N 155&#176;12'0" E)|?| |
21598|JM|Drifting Buoy||Drifter||31.300 N 152.700 E (31&#176;18'0" N 152&#176;42'0" E)|?| |
21600|JM|Drifting Buoy||Drifter||40.700 N 154.500 E (40&#176;42'0" N 154&#176;30'0" E)|?| |
21636|JM|Drifting Buoy||Drifter||31.500 N 127.400 E (31&#176;30'0" N 127&#176;24'0" E)|?| |
21637|JM|Drifting Buoy||Drifter||29.300 N 141.250 E (29&#176;18'0" N 141&#176;15'0" E)|?| |
21640|JM|Drifting Buoy||Drifter||28.300 N 135.500 E (28&#176;18'0" N 135&#176;30'0" E)|?| |
21707|JM|Drifting Buoy||||25.000 N 136.000 E (25&#176;0'0" N 136&#176;0'0" E)|?| |
21d13|N|2.6-meter discus buoy|2.6D84|SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP|DART II payload|30.514 N 152.123 E (30&#176;30'52" N 152&#176;7'21" E)|?| |As of 2200z, 6/28/24, the drifting buoy at station 21d13 has been recovered.
22101|KO|Buoy||||37.230 N 126.020 E (37&#176;13'48" N 126&#176;1'12" E)|?| |
22102|KO|Buoy||||34.800 N 125.770 E (34&#176;48'0" N 125&#176;46'12" E)|?| |
22103|KO|Buoy||||34.000 N 127.500 E (34&#176;0'0" N 127&#176;30'0" E)|?| |
22104|KO|Buoy||||34.770 N 128.900 E (34&#176;46'12" N 128&#176;54'0" E)|?| |
22105|KO|Buoy||||37.530 N 130.000 E (37&#176;31'48" N 130&#176;0'0" E)|?| |
22106|KO|Buoy||||36.350 N 129.780 E (36&#176;21'0" N 129&#176;46'48" E)|?| |
22107|KO|Buoy||||33.080 N 126.030 E (33&#176;4'48" N 126&#176;1'48" E)|?| |
22108|KO|Buoy||||36.250 N 125.750 E (36&#176;15'0" N 125&#176;45'0" E)|?| |
23001|RM|Atlas Buoy||||0.000 N 81.000 E (0&#176;0'0" N 81&#176;0'0" E)|| |
23003|RM|Atlas Buoy||||2.000 S 81.000 E (2&#176;0'0" S 81&#176;0'0" E)|| |
23004|RM|Atlas Buoy||||0.000 N 90.000 E (0&#176;0'0" N 90&#176;0'0" E)|| |
23006|RM|Atlas Buoy||||4.000 N 90.000 E (4&#176;0'0" N 90&#176;0'0" E)|| |
23007|RM|Atlas Buoy||||8.000 N 90.000 E (8&#176;0'0" N 90&#176;0'0" E)|| |
23008|RM|Atlas Buoy||||12.000 N 90.000 E (12&#176;0'0" N 90&#176;0'0" E)|| |
23009|RM|Atlas Buoy||||15.000 N 90.000 E (15&#176;0'0" N 90&#176;0'0" E)|| |
23010|RM|Atlas Buoy||||4.000 S 81.000 E (4&#176;0'0" S 81&#176;0'0" E)|| |
23011|RM|Atlas Buoy||||15.000 N 65.000 E (15&#176;0'0" N 65&#176;0'0" E)|| |
23012|RM|Atlas Buoy||||8.000 N 67.000 E (8&#176;0'0" N 67&#176;0'0" E)|| |
23013|RM|Atlas Buoy||||4.000 N 67.000 E (4&#176;0'0" N 67&#176;0'0" E)|| |
23014|RM|Atlas Buoy||||2.000 N 67.000 E (2&#176;0'0" N 67&#176;0'0" E)|| |
23015|RM|Atlas Buoy||||0.000 N 67.000 E (0&#176;0'0" N 67&#176;0'0" E)|| |
