t,ground_station,satellite,distance
0,client-shaniko,1308,1908
0,client-baker,1330,1948
0,client-prescott,73,2290
0,client-twinfalls,1330,1897
0,client-greatfalls,73,2117
0,client-pocatello,1352,1874
0,client-bozeman,1352,2002
0,client-everett,51,1954
0,client-medford,1308,1942
0,client-spokane,73,2003
0,client-kimberly,1308,1917
0,client-yakima,51,2055
0,client-centralia,51,2181
0,client-cascade,1330,1857
0,client-salmon,1352,2088
0,client-burns,1330,2006
0,client-bend,1308,1829
0,client-kalispell,73,1848
0,client-charlo,73,1927
0,client-pullman,73,2114
0,client-seneca,1330,2010
0,client-brownsville,1308,1929
0,client-yachats,1308,2035
0,client-tillamook,1308,2119
0,client-maupin,1308,1929
0,client-boardman,51,2205
0,client-kennewick,1330,2264
0,client-aberdeen,29,2004
0,client-pollock,1330,1949
0,client-packwood,51,2102
0,client-clarkia,73,2013
0,client-malden,73,2060
0,client-ritzville,73,2162
0,client-odessa,51,1957
0,client-quincy,51,1946
0,client-roslyn,51,1970
0,client-snoqualmie,51,1964
0,client-baringoo,51,1926
0,client-kalaloch,29,1903
0,client-corvallis,1308,1965
0,client-molalla,1308,1974
0,client-campsherman,1308,1861
0,client-prineville,1308,1842
0,client-lagrande,1330,2033
0,client-mccall,1330,1895
0,client-cobalt,1352,2116
0,client-may,1352,2033
0,client-darby,1352,2239
0,client-bannack,1352,2004
0,client-wisdom,1352,2104
1,client-shaniko,1308,1908
1,client-baker,1330,1948
1,client-prescott,73,2290
1,client-twinfalls,1330,1897
1,client-greatfalls,73,2117
1,client-pocatello,1352,1874
1,client-bozeman,1352,2002
1,client-everett,51,1954
1,client-medford,1308,1942
1,client-spokane,73,2003
1,client-kimberly,1308,1917
1,client-yakima,51,2055
1,client-centralia,51,2181
1,client-cascade,1330,1857
1,client-salmon,1352,2088
1,client-burns,1330,2006
1,client-bend,1308,1829
1,client-kalispell,73,1848
1,client-charlo,73,1927
1,client-pullman,73,2114
1,client-seneca,1330,2010
1,client-brownsville,1308,1929
1,client-yachats,1308,2035
1,client-tillamook,1308,2119
1,client-maupin,1308,1929
1,client-boardman,51,2205
1,client-kennewick,1330,2264
1,client-aberdeen,29,2004
1,client-pollock,1330,1949
1,client-packwood,51,2102
1,client-clarkia,73,2013
1,client-malden,73,2060
1,client-ritzville,73,2162
1,client-odessa,51,1957
1,client-quincy,51,1946
1,client-roslyn,51,1970
1,client-snoqualmie,51,1964
1,client-baringoo,51,1926
1,client-kalaloch,29,1903
1,client-corvallis,1308,1965
1,client-molalla,1308,1974
1,client-campsherman,1308,1861
1,client-prineville,1308,1842
1,client-lagrande,1330,2033
1,client-mccall,1330,1895
1,client-cobalt,1352,2116
1,client-may,1352,2033
1,client-darby,1352,2239
1,client-bannack,1352,2004
1,client-wisdom,1352,2104
2,client-shaniko,1308,1908
2,client-baker,1330,1948
2,client-prescott,73,2290
2,client-twinfalls,1330,1897
2,client-greatfalls,73,2117
2,client-pocatello,1352,1874
2,client-bozeman,1352,2002
2,client-everett,51,1954
2,client-medford,1308,1942
2,client-spokane,73,2003
2,client-kimberly,1308,1917
2,client-yakima,51,2055
2,client-centralia,51,2181
2,client-cascade,1330,1857
2,client-salmon,1352,2088
2,client-burns,1330,2006
2,client-bend,1308,1829
2,client-kalispell,73,1848
2,client-charlo,73,1927
2,client-pullman,73,2114
2,client-seneca,1330,2010
2,client-brownsville,1308,1929
2,client-yachats,1308,2035
2,client-tillamook,1308,2119
2,client-maupin,1308,1929
2,client-boardman,51,2205
2,client-kennewick,1330,2264
2,client-aberdeen,29,2004
2,client-pollock,1330,1949
2,client-packwood,51,2102
2,client-clarkia,73,2013
2,client-malden,73,2060
2,client-ritzville,73,2162
2,client-odessa,51,1957
2,client-quincy,51,1946
2,client-roslyn,51,1970
2,client-snoqualmie,51,1964
2,client-baringoo,51,1926
2,client-kalaloch,29,1903
2,client-corvallis,1308,1965
2,client-molalla,1308,1974
2,client-campsherman,1308,1861
2,client-prineville,1308,1842
2,client-lagrande,1330,2033
2,client-mccall,1330,1895
2,client-cobalt,1352,2116
2,client-may,1352,2033
2,client-darby,1352,2239
2,client-bannack,1352,2004
2,client-wisdom,1352,2104
3,client-shaniko,1308,1908
3,client-baker,1330,1948
3,client-prescott,73,2290
3,client-twinfalls,1330,1897
3,client-greatfalls,73,2117
3,client-pocatello,1352,1874
3,client-bozeman,1352,2002
3,client-everett,51,1954
3,client-medford,1308,1942
3,client-spokane,73,2003
3,client-kimberly,1308,1917
3,client-yakima,51,2055
3,client-centralia,51,2181
3,client-cascade,1330,1857
3,client-salmon,1352,2088
3,client-burns,1330,2006
3,client-bend,1308,1829
3,client-kalispell,73,1848
3,client-charlo,73,1927
3,client-pullman,73,2114
3,client-seneca,1330,2010
3,client-brownsville,1308,1929
3,client-yachats,1308,2035
3,client-tillamook,1308,2119
3,client-maupin,1308,1929
3,client-boardman,51,2205
3,client-kennewick,1330,2264
3,client-aberdeen,29,2004
3,client-pollock,1330,1949
3,client-packwood,51,2102
3,client-clarkia,73,2013
3,client-malden,73,2060
3,client-ritzville,73,2162
3,client-odessa,51,1957
3,client-quincy,51,1946
3,client-roslyn,51,1970
3,client-snoqualmie,51,1964
3,client-baringoo,51,1926
3,client-kalaloch,29,1903
3,client-corvallis,1308,1965
3,client-molalla,1308,1974
3,client-campsherman,1308,1861
3,client-prineville,1308,1842
3,client-lagrande,1330,2033
3,client-mccall,1330,1895
3,client-cobalt,1352,2116
3,client-may,1352,2033
3,client-darby,1352,2239
3,client-bannack,1352,2004
3,client-wisdom,1352,2104
4,client-shaniko,1308,1908
4,client-baker,1330,1948
4,client-prescott,73,2290
4,client-twinfalls,1330,1897
4,client-greatfalls,73,2117
4,client-pocatello,1352,1874
4,client-bozeman,1352,2002
4,client-everett,51,1954
4,client-medford,1308,1942
4,client-spokane,73,2003
4,client-kimberly,1308,1917
4,client-yakima,51,2055
4,client-centralia,51,2181
4,client-cascade,1330,1857
4,client-salmon,1352,2088
4,client-burns,1330,2006
4,client-bend,1308,1829
4,client-kalispell,73,1848
4,client-charlo,73,1927
4,client-pullman,73,2114
4,client-seneca,1330,2010
4,client-brownsville,1308,1929
4,client-yachats,1308,2035
4,client-tillamook,1308,2119
4,client-maupin,1308,1929
4,client-boardman,51,2205
4,client-kennewick,1330,2264
4,client-aberdeen,29,2004
4,client-pollock,1330,1949
4,client-packwood,51,2102
4,client-clarkia,73,2013
4,client-malden,73,2060
4,client-ritzville,73,2162
4,client-odessa,51,1957
4,client-quincy,51,1946
4,client-roslyn,51,1970
4,client-snoqualmie,51,1964
4,client-baringoo,51,1926
4,client-kalaloch,29,1903
4,client-corvallis,1308,1965
4,client-molalla,1308,1974
4,client-campsherman,1308,1861
4,client-prineville,1308,1842
4,client-lagrande,1330,2033
4,client-mccall,1330,1895
4,client-cobalt,1352,2116
4,client-may,1352,2033
4,client-darby,1352,2239
4,client-bannack,1352,2004
4,client-wisdom,1352,2104
5,client-shaniko,1308,1908
5,client-baker,1330,1948
5,client-prescott,73,2290
5,client-twinfalls,1330,1897
5,client-greatfalls,73,2117
5,client-pocatello,1352,1874
5,client-bozeman,1352,2002
5,client-everett,51,1954
5,client-medford,1308,1942
5,client-spokane,73,2003
5,client-kimberly,1308,1917
5,client-yakima,51,2055
5,client-centralia,51,2181
5,client-cascade,1330,1857
5,client-salmon,1352,2088
5,client-burns,1330,2006
5,client-bend,1308,1829
5,client-kalispell,73,1848
5,client-charlo,73,1927
5,client-pullman,73,2114
5,client-seneca,1330,2010
5,client-brownsville,1308,1929
5,client-yachats,1308,2035
5,client-tillamook,1308,2119
5,client-maupin,1308,1929
5,client-boardman,51,2205
5,client-kennewick,1330,2264
5,client-aberdeen,29,2004
5,client-pollock,1330,1949
5,client-packwood,51,2102
5,client-clarkia,73,2013
5,client-malden,73,2060
5,client-ritzville,73,2162
5,client-odessa,51,1957
5,client-quincy,51,1946
5,client-roslyn,51,1970
5,client-snoqualmie,51,1964
5,client-baringoo,51,1926
5,client-kalaloch,29,1903
5,client-corvallis,1308,1965
5,client-molalla,1308,1974
5,client-campsherman,1308,1861
5,client-prineville,1308,1842
5,client-lagrande,1330,2033
5,client-mccall,1330,1895
5,client-cobalt,1352,2116
5,client-may,1352,2033
5,client-darby,1352,2239
5,client-bannack,1352,2004
5,client-wisdom,1352,2104
6,client-shaniko,1308,1908
6,client-baker,1330,1948
6,client-prescott,73,2290
6,client-twinfalls,1330,1897
6,client-greatfalls,73,2117
6,client-pocatello,1352,1874
6,client-bozeman,1352,2002
6,client-everett,51,1954
6,client-medford,1308,1942
6,client-spokane,73,2003
6,client-kimberly,1308,1917
6,client-yakima,51,2055
6,client-centralia,51,2181
6,client-cascade,1330,1857
6,client-salmon,1352,2088
6,client-burns,1330,2006
6,client-bend,1308,1829
6,client-kalispell,73,1848
6,client-charlo,73,1927
6,client-pullman,73,2114
6,client-seneca,1330,2010
6,client-brownsville,1308,1929
6,client-yachats,1308,2035
6,client-tillamook,1308,2119
6,client-maupin,1308,1929
6,client-boardman,51,2205
6,client-kennewick,1330,2264
6,client-aberdeen,29,2004
6,client-pollock,1330,1949
6,client-packwood,51,2102
6,client-clarkia,73,2013
6,client-malden,73,2060
6,client-ritzville,73,2162
6,client-odessa,51,1957
6,client-quincy,51,1946
6,client-roslyn,51,1970
6,client-snoqualmie,51,1964
6,client-baringoo,51,1926
6,client-kalaloch,29,1903
6,client-corvallis,1308,1965
6,client-molalla,1308,1974
6,client-campsherman,1308,1861
6,client-prineville,1308,1842
6,client-lagrande,1330,2033
6,client-mccall,1330,1895
6,client-cobalt,1352,2116
6,client-may,1352,2033
6,client-darby,1352,2239
6,client-bannack,1352,2004
6,client-wisdom,1352,2104
7,client-shaniko,1308,1908
7,client-baker,1330,1948
7,client-prescott,73,2290
7,client-twinfalls,1330,1897
7,client-greatfalls,73,2117
7,client-pocatello,1352,1874
7,client-bozeman,1352,2002
7,client-everett,51,1954
7,client-medford,1308,1942
7,client-spokane,73,2003
7,client-kimberly,1308,1917
7,client-yakima,51,2055
7,client-centralia,51,2181
7,client-cascade,1330,1857
7,client-salmon,1352,2088
7,client-burns,1330,2006
7,client-bend,1308,1829
7,client-kalispell,73,1848
7,client-charlo,73,1927
7,client-pullman,73,2114
7,client-seneca,1330,2010
7,client-brownsville,1308,1929
7,client-yachats,1308,2035
7,client-tillamook,1308,2119
7,client-maupin,1308,1929
7,client-boardman,51,2205
7,client-kennewick,1330,2264
7,client-aberdeen,29,2004
7,client-pollock,1330,1949
7,client-packwood,51,2102
7,client-clarkia,73,2013
7,client-malden,73,2060
7,client-ritzville,73,2162
7,client-odessa,51,1957
7,client-quincy,51,1946
7,client-roslyn,51,1970
7,client-snoqualmie,51,1964
7,client-baringoo,51,1926
7,client-kalaloch,29,1903
7,client-corvallis,1308,1965
7,client-molalla,1308,1974
7,client-campsherman,1308,1861
7,client-prineville,1308,1842
7,client-lagrande,1330,2033
7,client-mccall,1330,1895
