t,ground_station,satellite,distance
0,client-shaniko,1330,2317
0,client-baker,1330,1948
0,client-prescott,1330,2208
0,client-twinfalls,1330,1897
0,client-greatfalls,1330,2704
0,client-pocatello,1330,2083
0,client-bozeman,1330,2423
0,client-everett,1504,2678
0,client-medford,1330,2697
0,client-spokane,1330,2458
0,client-kimberly,1330,2134
0,client-yakima,1330,2502
0,client-centralia,1504,3018
0,client-cascade,1330,1857
0,client-salmon,1330,2013
0,client-burns,1330,2006
0,client-bend,1330,2353
0,client-kalispell,1330,2610
0,client-charlo,1330,2423
0,client-pullman,1330,2229
0,client-seneca,1330,2010
0,client-brownsville,1330,2681
0,client-yachats,1330,2912
0,client-tillamook,1330,2923
0,client-maupin,1330,2385
0,client-boardman,1330,2270
0,client-kennewick,1330,2264
0,client-aberdeen,1504,2923
0,client-pollock,1330,1949
0,client-packwood,1330,2672
0,client-clarkia,1330,2270
0,client-malden,1330,2355
0,client-ritzville,1330,2386
0,client-odessa,1330,2456
0,client-quincy,1330,2547
0,client-roslyn,1504,2962
0,client-snoqualmie,1504,2881
0,client-baringoo,1504,2774
0,client-kalaloch,1504,2734
0,client-corvallis,1330,2745
0,client-molalla,1330,2648
0,client-campsherman,1330,2429
0,client-prineville,1330,2283
0,client-lagrande,1330,2033
0,client-mccall,1330,1895
0,client-cobalt,1330,1978
0,client-may,1330,1952
0,client-darby,1330,2121
0,client-bannack,1330,2097
0,client-wisdom,1330,2112
1,client-shaniko,1330,2317
1,client-baker,1330,1948
1,client-prescott,1330,2208
1,client-twinfalls,1330,1897
1,client-greatfalls,1330,2704
1,client-pocatello,1330,2083
1,client-bozeman,1330,2423
1,client-everett,1504,2678
1,client-medford,1330,2697
1,client-spokane,1330,2458
1,client-kimberly,1330,2134
1,client-yakima,1330,2502
1,client-centralia,1504,3018
1,client-cascade,1330,1857
1,client-salmon,1330,2013
1,client-burns,1330,2006
1,client-bend,1330,2353
1,client-kalispell,1330,2610
1,client-charlo,1330,2423
1,client-pullman,1330,2229
1,client-seneca,1330,2010
1,client-brownsville,1330,2681
1,client-yachats,1330,2912
1,client-tillamook,1330,2923
1,client-maupin,1330,2385
1,client-boardman,1330,2270
1,client-kennewick,1330,2264
1,client-aberdeen,1504,2923
1,client-pollock,1330,1949
1,client-packwood,1330,2672
1,client-clarkia,1330,2270
1,client-malden,1330,2355
1,client-ritzville,1330,2386
1,client-odessa,1330,2456
1,client-quincy,1330,2547
1,client-roslyn,1504,2962
1,client-snoqualmie,1504,2881
1,client-baringoo,1504,2774
1,client-kalaloch,1504,2734
1,client-corvallis,1330,2745
1,client-molalla,1330,2648
1,client-campsherman,1330,2429
1,client-prineville,1330,2283
1,client-lagrande,1330,2033
1,client-mccall,1330,1895
1,client-cobalt,1330,1978
1,client-may,1330,1952
1,client-darby,1330,2121
1,client-bannack,1330,2097
1,client-wisdom,1330,2112
2,client-shaniko,1330,2317
2,client-baker,1330,1948
2,client-prescott,1330,2208
2,client-twinfalls,1330,1897
2,client-greatfalls,1330,2704
2,client-pocatello,1330,2083
2,client-bozeman,1330,2423
2,client-everett,1504,2678
2,client-medford,1330,2697
2,client-spokane,1330,2458
2,client-kimberly,1330,2134
2,client-yakima,1330,2502
2,client-centralia,1504,3018
2,client-cascade,1330,1857
2,client-salmon,1330,2013
2,client-burns,1330,2006
2,client-bend,1330,2353
2,client-kalispell,1330,2610
2,client-charlo,1330,2423
2,client-pullman,1330,2229
2,client-seneca,1330,2010
2,client-brownsville,1330,2681
2,client-yachats,1330,2912
2,client-tillamook,1330,2923
2,client-maupin,1330,2385
2,client-boardman,1330,2270
2,client-kennewick,1330,2264
2,client-aberdeen,1504,2923
2,client-pollock,1330,1949
2,client-packwood,1330,2672
2,client-clarkia,1330,2270
2,client-malden,1330,2355
2,client-ritzville,1330,2386
2,client-odessa,1330,2456
2,client-quincy,1330,2547
2,client-roslyn,1504,2962
2,client-snoqualmie,1504,2881
2,client-baringoo,1504,2774
2,client-kalaloch,1504,2734
2,client-corvallis,1330,2745
2,client-molalla,1330,2648
2,client-campsherman,1330,2429
2,client-prineville,1330,2283
2,client-lagrande,1330,2033
2,client-mccall,1330,1895
2,client-cobalt,1330,1978
2,client-may,1330,1952
2,client-darby,1330,2121
2,client-bannack,1330,2097
2,client-wisdom,1330,2112
3,client-shaniko,1330,2317
3,client-baker,1330,1948
3,client-prescott,1330,2208
3,client-twinfalls,1330,1897
3,client-greatfalls,1330,2704
3,client-pocatello,1330,2083
3,client-bozeman,1330,2423
3,client-everett,1504,2678
3,client-medford,1330,2697
3,client-spokane,1330,2458
3,client-kimberly,1330,2134
3,client-yakima,1330,2502
3,client-centralia,1504,3018
3,client-cascade,1330,1857
