t,ground_station,satellite,distance
0,sensor21413,685,25513
0,sensor21414,685,7092
0,sensor21415,685,8394
0,sensor21416,685,10883
0,sensor21417,685,15423
0,sensor21418,685,16641
0,sensor21419,685,13984
0,sensor21d13,685,25515
0,sensor46401,685,5565
0,sensor46402,685,2679
0,sensor46403,685,1813
0,sensor46404,685,8570
0,sensor46405,685,9137
0,sensor46407,685,9302
0,sensor46408,685,4196
0,sensor46409,685,2743
0,sensor46410,685,4371
0,sensor46411,685,11443
0,sensor46412,685,17433
0,sensor46413,685,5574
0,sensor46414,685,2076
0,sensor46415,685,4450
0,sensor46416,685,5990
0,sensor46419,685,7343
0,sensor46451,685,9243
0,sensor46452,685,9234
0,sensor46490,685,16923
0,sensor46d02,685,2638
0,sensor46d04,685,8574
0,sensor46d16,685,5995
1,sensor21413,685,25513
1,sensor21414,685,7092
1,sensor21415,685,8394
1,sensor21416,685,10883
1,sensor21417,685,15423
1,sensor21418,685,16641
1,sensor21419,685,13984
1,sensor21d13,685,25515
1,sensor46401,685,5565
1,sensor46402,685,2679
1,sensor46403,685,1813
1,sensor46404,685,8570
1,sensor46405,685,9137
1,sensor46407,685,9302
1,sensor46408,685,4196
1,sensor46409,685,2743
1,sensor46410,685,4371
1,sensor46411,685,11443
1,sensor46412,685,17433
1,sensor46413,685,5574
1,sensor46414,685,2076
1,sensor46415,685,4450
1,sensor46416,685,5990
1,sensor46419,685,7343
1,sensor46451,685,9243
1,sensor46452,685,9234
1,sensor46490,685,16923
1,sensor46d02,685,2638
1,sensor46d04,685,8574
1,sensor46d16,685,5995
2,sensor21413,707,24288
2,sensor21414,707,8317
2,sensor21415,707,9619
2,sensor21416,707,12109
2,sensor21417,707,15247
2,sensor21418,707,17867
2,sensor21419,707,15239
2,sensor21d13,707,24290
2,sensor46401,707,6790
2,sensor46402,707,3615
2,sensor46403,707,2224
2,sensor46404,707,7345
2,sensor46405,707,9358
2,sensor46407,707,9233
2,sensor46408,707,5421
2,sensor46409,707,2194
2,sensor46410,707,3145
2,sensor46411,707,10218
2,sensor46412,707,18658
2,sensor46413,707,6799
2,sensor46414,707,1886
2,sensor46415,707,3225
2,sensor46416,707,4765
2,sensor46419,707,6118
2,sensor46451,707,8698
2,sensor46452,707,8638
2,sensor46490,707,18149
2,sensor46d02,707,3567
2,sensor46d04,707,7348
2,sensor46d16,707,4770
3,sensor21413,707,24288
3,sensor21414,707,8317
3,sensor21415,707,9619
3,sensor21416,707,12109
3,sensor21417,707,15247
3,sensor21418,707,17867
3,sensor21419,707,15239
3,sensor21d13,707,24290
3,sensor46401,707,6790
3,sensor46402,707,3615
3,sensor46403,707,2224
3,sensor46404,707,7345
3,sensor46405,707,9358
3,sensor46407,707,9233
3,sensor46408,707,5421
3,sensor46409,707,2194
3,sensor46410,707,3145
3,sensor46411,707,10218
3,sensor46412,707,18658
3,sensor46413,707,6799
3,sensor46414,707,1886
3,sensor46415,707,3225
3,sensor46416,707,4765
3,sensor46419,707,6118
3,sensor46451,707,8627
3,sensor46452,707,8638
3,sensor46490,707,18149
3,sensor46d02,707,3567
3,sensor46d04,707,7348
3,sensor46d16,707,4770
4,sensor21413,707,24288
4,sensor21414,707,8317
4,sensor21415,707,9619
4,sensor21416,707,12109
4,sensor21417,707,15247
4,sensor21418,707,17867
4,sensor21419,707,15239
4,sensor21d13,707,24290
4,sensor46401,707,6790
4,sensor46402,707,3615
4,sensor46403,707,2224
4,sensor46404,707,7345
4,sensor46405,707,9358
4,sensor46407,707,9233
4,sensor46408,707,5421
4,sensor46409,707,2194
4,sensor46410,707,3145
4,sensor46411,707,10218
4,sensor46412,707,18658
4,sensor46413,707,6799
4,sensor46414,707,1886
4,sensor46415,707,3225
4,sensor46416,707,4765
4,sensor46419,707,6118
4,sensor46451,707,8627
4,sensor46452,707,8638
4,sensor46490,707,18620
4,sensor46d02,707,3567
4,sensor46d04,707,7348
4,sensor46d16,707,4770
5,sensor21413,707,24288
5,sensor21414,707,8317
5,sensor21415,707,9619
5,sensor21416,707,12109
5,sensor21417,707,15247
5,sensor21418,707,17867
5,sensor21419,707,15239
5,sensor21d13,707,24290
5,sensor46401,707,6790
5,sensor46402,707,3615
5,sensor46403,707,2224
5,sensor46404,707,7345
5,sensor46405,707,9358
5,sensor46407,707,9233
5,sensor46408,707,5421
5,sensor46409,707,2194
5,sensor46410,707,3145
5,sensor46411,707,10218
5,sensor46412,707,18658
5,sensor46413,707,6799
5,sensor46414,707,1886
5,sensor46415,707,3225
5,sensor46416,707,4765
5,sensor46419,707,6118
5,sensor46451,707,8627
5,sensor46452,707,8638
5,sensor46490,707,18620
5,sensor46d02,707,3567
5,sensor46d04,707,7348
5,sensor46d16,707,4770
6,sensor21413,707,24288
6,sensor21414,707,8317
6,sensor21415,707,9619
6,sensor21416,707,12109
6,sensor21417,707,15247
6,sensor21418,707,17867
6,sensor21419,707,15239
6,sensor21d13,707,24290
6,sensor46401,707,6790
6,sensor46402,707,3615
6,sensor46403,707,2224
6,sensor46404,707,7345
6,sensor46405,707,9358
6,sensor46407,707,9233
6,sensor46408,707,5421
6,sensor46409,707,2194
6,sensor46410,707,3145
6,sensor46411,707,10218
6,sensor46412,707,18658
6,sensor46413,707,6799
6,sensor46414,707,1886
6,sensor46415,707,3225
6,sensor46416,707,4765
6,sensor46419,707,6118
6,sensor46451,707,8627
6,sensor46452,707,8638
6,sensor46490,707,18620
6,sensor46d02,707,3567
6,sensor46d04,707,7348
6,sensor46d16,707,4770
7,sensor21413,685,25513
7,sensor21414,685,7092
7,sensor21415,685,8394
7,sensor21416,685,10883
7,sensor21417,685,15423
7,sensor21418,685,16641
7,sensor21419,685,14731
7,sensor21d13,685,25515
7,sensor46401,685,5565
7,sensor46402,685,2679
7,sensor46403,685,1813
7,sensor46404,685,8570
7,sensor46405,685,9137
7,sensor46407,685,9302
7,sensor46408,685,4196
7,sensor46409,685,2743
7,sensor46410,685,3746
7,sensor46411,685,11443
7,sensor46412,685,17433
7,sensor46413,685,5574
7,sensor46414,685,2076
7,sensor46415,685,4450
7,sensor46416,685,5990
7,sensor46419,685,7343
7,sensor46451,685,9243
7,sensor46452,685,9234
7,sensor46490,685,17393
7,sensor46d02,685,2638
7,sensor46d04,685,8574
7,sensor46d16,685,5995
8,sensor21413,685,25513
8,sensor21414,685,7092
8,sensor21415,685,8394
8,sensor21416,685,10883
8,sensor21417,685,15423
8,sensor21418,685,16641
8,sensor21419,685,14731
8,sensor21d13,685,25515
8,sensor46401,685,5565
8,sensor46402,685,2679
8,sensor46403,685,1813
8,sensor46404,685,8570
8,sensor46405,685,9137
8,sensor46407,685,9302
8,sensor46408,685,4196
8,sensor46409,685,2743
8,sensor46410,685,3746
8,sensor46411,685,10324
8,sensor46412,685,17433
8,sensor46413,685,5574
8,sensor46414,685,2076
8,sensor46415,685,4450
8,sensor46416,685,5990
8,sensor46419,685,7343
8,sensor46451,685,9243
8,sensor46452,685,9234
8,sensor46490,685,17393
8,sensor46d02,685,2638
8,sensor46d04,685,8574
8,sensor46d16,685,5995
9,sensor21413,685,25513
9,sensor21414,685,7092
9,sensor21415,685,8394
9,sensor21416,685,10883
9,sensor21417,685,15423
9,sensor21418,685,16641
9,sensor21419,685,14731
9,sensor21d13,685,25515
9,sensor46401,685,5565
9,sensor46402,685,2679
9,sensor46403,685,1813
9,sensor46404,685,8570
9,sensor46405,685,9137
9,sensor46407,685,9302
9,sensor46408,685,4196
9,sensor46409,685,2743
9,sensor46410,685,3746
9,sensor46411,685,10324
9,sensor46412,685,17433
9,sensor46413,685,5574
9,sensor46414,685,2076
9,sensor46415,685,4450
9,sensor46416,685,5990
9,sensor46419,685,7343
9,sensor46451,685,9243
9,sensor46452,685,9234
9,sensor46490,685,17393
9,sensor46d02,685,2638
9,sensor46d04,685,8574
9,sensor46d16,685,5995
10,sensor21413,685,25513
10,sensor21414,685,7092
10,sensor21415,685,8394
10,sensor21416,685,10883
10,sensor21417,685,15423
10,sensor21418,685,16641
10,sensor21419,685,14731
10,sensor21d13,685,25515
10,sensor46401,685,5565
10,sensor46402,685,2679
10,sensor46403,685,1813
10,sensor46404,685,8570
10,sensor46405,685,9137
10,sensor46407,685,9302
10,sensor46408,685,4196
10,sensor46409,685,2743
10,sensor46410,685,3746
10,sensor46411,685,10324
10,sensor46412,685,17433
10,sensor46413,685,5574
10,sensor46414,685,2076
10,sensor46415,685,4450
10,sensor46416,685,5990
10,sensor46419,685,7343
10,sensor46451,685,9243
10,sensor46452,685,9234
10,sensor46490,685,17393
10,sensor46d02,685,2638
10,sensor46d04,685,8574
10,sensor46d16,685,5995
11,sensor21413,685,25513
11,sensor21414,685,7092
11,sensor21415,685,8394
11,sensor21416,685,10883
11,sensor21417,685,15423
11,sensor21418,685,16641
11,sensor21419,685,14731
11,sensor21d13,685,25515
11,sensor46401,685,5565
11,sensor46402,685,2679
11,sensor46403,685,1813
11,sensor46404,685,8570
11,sensor46405,685,9137
11,sensor46407,685,9302
11,sensor46408,685,4196
11,sensor46409,685,2743
11,sensor46410,685,3746
11,sensor46411,685,10324
11,sensor46412,685,17433
11,sensor46413,685,5574
11,sensor46414,685,2076
11,sensor46415,685,4450
11,sensor46416,685,5990
11,sensor46419,685,7343
11,sensor46451,685,9243
11,sensor46452,685,9234
11,sensor46490,685,17393
11,sensor46d02,685,2638
11,sensor46d04,685,8574
11,sensor46d16,685,5995
12,sensor21413,685,25513
12,sensor21414,685,7092
12,sensor21415,685,8394
12,sensor21416,685,10883
12,sensor21417,685,15423
12,sensor21418,685,16641
12,sensor21419,685,14980
12,sensor21d13,685,25515
12,sensor46401,685,5565
12,sensor46402,685,2679
12,sensor46403,685,1813
12,sensor46404,685,8570
12,sensor46405,685,9137
12,sensor46407,685,9302
12,sensor46408,685,4196
12,sensor46409,685,2743
12,sensor46410,685,3746
12,sensor46411,685,10324
12,sensor46412,685,17433
12,sensor46413,685,5574
12,sensor46414,685,2076
12,sensor46415,685,4450
12,sensor46416,685,5990
12,sensor46419,685,7343
12,sensor46451,685,9243
12,sensor46452,685,9234
12,sensor46490,685,17393
12,sensor46d02,685,2638
12,sensor46d04,685,8574
12,sensor46d16,685,5995
13,sensor21413,685,25513
13,sensor21414,685,7092
13,sensor21415,685,8394
13,sensor21416,685,11152
13,sensor21417,685,15423
13,sensor21418,685,16641
13,sensor21419,685,14980
13,sensor21d13,685,25515
13,sensor46401,685,5565
13,sensor46402,685,2679
13,sensor46403,685,1813
13,sensor46404,685,8570
13,sensor46405,685,9137
13,sensor46407,685,9302
13,sensor46408,685,4196
13,sensor46409,685,2743
13,sensor46410,685,3746
13,sensor46411,685,10324
13,sensor46412,685,17433
13,sensor46413,685,5574
13,sensor46414,685,2076
13,sensor46415,685,4450
13,sensor46416,685,5990
13,sensor46419,685,7343
13,sensor46451,685,9243
13,sensor46452,685,9234
13,sensor46490,685,17393
13,sensor46d02,685,2638
13,sensor46d04,685,8574
13,sensor46d16,685,5995
14,sensor21413,685,25513
14,sensor21414,685,7092
14,sensor21415,685,8959
14,sensor21416,685,11152
14,sensor21417,685,15423
14,sensor21418,685,16641
14,sensor21419,685,14980
14,sensor21d13,685,25515
14,sensor46401,685,5565
14,sensor46402,685,2679
14,sensor46403,685,1813
14,sensor46404,685,8570
14,sensor46405,685,9137
14,sensor46407,685,9302
14,sensor46408,685,4196
14,sensor46409,685,2743
14,sensor46410,685,3746
14,sensor46411,685,10324
14,sensor46412,685,17433
14,sensor46413,685,5574
14,sensor46414,685,2076
14,sensor46415,685,4450
14,sensor46416,685,5990
14,sensor46419,685,7343
14,sensor46451,685,9243
14,sensor46452,685,9234
14,sensor46490,685,17393
14,sensor46d02,685,2638
14,sensor46d04,685,8574
14,sensor46d16,685,5995
15,sensor21413,685,25513
15,sensor21414,685,7092
15,sensor21415,685,8959
15,sensor21416,685,11152
15,sensor21417,685,15423
15,sensor21418,685,16641
15,sensor21419,685,14980
15,sensor21d13,685,25515
15,sensor46401,685,5565
15,sensor46402,685,2679
15,sensor46403,685,1813
15,sensor46404,685,8570
15,sensor46405,685,9137
15,sensor46407,685,9302
15,sensor46408,685,4196
15,sensor46409,685,2743
15,sensor46410,685,3746
15,sensor46411,685,10324
15,sensor46412,685,17433
15,sensor46413,685,5574
15,sensor46414,685,2076
15,sensor46415,685,4450
15,sensor46416,685,5990
15,sensor46419,685,7343
15,sensor46451,685,9243
15,sensor46452,685,9234
15,sensor46490,685,17393
15,sensor46d02,685,2638
15,sensor46d04,685,8574
15,sensor46d16,685,5995
16,sensor21413,685,25513
16,sensor21414,685,7092
16,sensor21415,685,8959
16,sensor21416,685,11152
16,sensor21417,685,15423
16,sensor21418,685,16641
16,sensor21419,685,14980
16,sensor21d13,685,25515
16,sensor46401,685,5565
16,sensor46402,685,2679
16,sensor46403,685,1813
16,sensor46404,685,8570
16,sensor46405,685,9137
16,sensor46407,685,9302
16,sensor46408,685,4196
16,sensor46409,685,2743
16,sensor46410,685,3746
16,sensor46411,685,10324
16,sensor46412,685,17433
16,sensor46413,685,5574
16,sensor46414,685,2076
16,sensor46415,685,4450
16,sensor46416,685,5990
16,sensor46419,685,7343
16,sensor46451,685,9243
16,sensor46452,685,9234
16,sensor46490,685,17393
16,sensor46d02,685,2638
16,sensor46d04,685,8574
16,sensor46d16,685,5995
17,sensor21413,685,25513
17,sensor21414,685,7092
17,sensor21415,685,8959
17,sensor21416,685,11152
17,sensor21417,685,15423
17,sensor21418,685,17773
17,sensor21419,685,14980
17,sensor21d13,685,25515
17,sensor46401,685,5565
17,sensor46402,685,2679
17,sensor46403,685,1813
17,sensor46404,685,8570
17,sensor46405,685,9137
17,sensor46407,685,9302
17,sensor46408,685,4196
17,sensor46409,685,2743
17,sensor46410,685,3746
17,sensor46411,685,10324
17,sensor46412,685,17433
17,sensor46413,685,5574
17,sensor46414,685,2076
17,sensor46415,685,4450
17,sensor46416,685,5990
17,sensor46419,685,7343
17,sensor46451,685,9243
17,sensor46452,685,9234
17,sensor46490,685,17393
17,sensor46d02,685,2638
17,sensor46d04,685,8574
17,sensor46d16,685,5995
18,sensor21413,685,25513
18,sensor21414,685,7092
18,sensor21415,685,8959
18,sensor21416,685,11152
18,sensor21417,685,15423
18,sensor21418,685,17773
18,sensor21419,685,14980
18,sensor21d13,685,25515
18,sensor46401,685,5565
18,sensor46402,685,2679
18,sensor46403,685,1813
18,sensor46404,685,8570
18,sensor46405,685,9137
18,sensor46407,685,9302
18,sensor46408,685,4196
18,sensor46409,685,2743
18,sensor46410,685,3746
18,sensor46411,685,10324
18,sensor46412,685,17433
18,sensor46413,685,5574
18,sensor46414,685,2076
18,sensor46415,685,4450
18,sensor46416,685,5990
18,sensor46419,685,7343
18,sensor46451,685,9243
18,sensor46452,685,9234
18,sensor46490,685,17393
18,sensor46d02,685,2638
18,sensor46d04,685,8574
18,sensor46d16,685,5995
19,sensor21413,685,25513
19,sensor21414,685,7778
19,sensor21415,685,8959
19,sensor21416,685,11152
19,sensor21417,685,15423
19,sensor21418,685,17773
19,sensor21419,685,14980
19,sensor21d13,685,25515
19,sensor46401,685,5565
19,sensor46402,685,2679
19,sensor46403,685,1813
19,sensor46404,685,8570
19,sensor46405,685,9137
19,sensor46407,685,9302
19,sensor46408,685,4196
19,sensor46409,685,2743
19,sensor46410,685,3746
19,sensor46411,685,10324
19,sensor46412,685,17433
19,sensor46413,685,5574
19,sensor46414,685,2076
19,sensor46415,685,4450
19,sensor46416,685,5990
19,sensor46419,685,7343
19,sensor46451,685,9243
19,sensor46452,685,9234
19,sensor46490,685,17393
19,sensor46d02,685,2638
19,sensor46d04,685,8574
19,sensor46d16,685,5995
20,sensor21413,685,25513
20,sensor21414,685,7778
20,sensor21415,685,8959
20,sensor21416,685,11152
20,sensor21417,685,15423
20,sensor21418,685,17773
20,sensor21419,685,14980
20,sensor21d13,685,25515
20,sensor46401,685,5565
20,sensor46402,685,2679
20,sensor46403,685,1813
20,sensor46404,685,8570
20,sensor46405,685,9137
20,sensor46407,685,9302
20,sensor46408,685,4196
20,sensor46409,685,2743
20,sensor46410,685,3746
20,sensor46411,685,10324
20,sensor46412,685,17433
20,sensor46413,685,5574
20,sensor46414,685,2076
