time,op,req_t,host,time_ms
2024-07-03 13:13:25.039831,put,0.038554,2.1.celestial:8000,336.831
2024-07-03 13:13:25.082770,get,0.04185,2.1.celestial:8000,379.77
2024-07-03 13:13:25.118958,put,0.034995,2.1.celestial:8000,415.958
2024-07-03 13:13:25.171563,get,0.049147,2.1.celestial:8000,468.563
2024-07-03 13:13:26.124751,put,0.03987,2.1.celestial:8000,1421.751
2024-07-03 13:13:26.165401,get,0.038983,2.1.celestial:8000,1462.401
2024-07-03 13:13:27.127701,put,0.041937,2.1.celestial:8000,2424.701
2024-07-03 13:13:27.187669,get,0.058833,2.1.celestial:8000,2484.669
2024-07-03 13:13:28.120512,put,0.034703,2.1.celestial:8000,3417.512
2024-07-03 13:13:28.164845,get,0.043208,2.1.celestial:8000,3461.845
2024-07-03 13:13:29.124853,put,0.038726,2.1.celestial:8000,4421.853
2024-07-03 13:13:29.166729,get,0.040794,2.1.celestial:8000,4463.729
2024-07-03 13:13:30.119945,put,0.033079,2.1.celestial:8000,5416.945
2024-07-03 13:13:30.142452,get,0.02143,2.1.celestial:8000,5439.452
2024-07-03 13:13:31.127942,put,0.040115,2.1.celestial:8000,6424.942
2024-07-03 13:13:31.149502,get,0.020506,2.1.celestial:8000,6446.502
2024-07-03 13:13:32.131784,put,0.043126,2.1.celestial:8000,7428.784
2024-07-03 13:13:32.170848,get,0.037844,2.1.celestial:8000,7467.848
2024-07-03 13:13:33.120602,put,0.031618,2.1.celestial:8000,8417.602
2024-07-03 13:13:33.142938,get,0.021284,2.1.celestial:8000,8439.938
2024-07-03 13:13:34.114004,put,0.024668,2.1.celestial:8000,9411.004
2024-07-03 13:13:34.147402,get,0.032258,2.1.celestial:8000,9444.402
2024-07-03 13:13:35.108070,put,0.018069,2.1.celestial:8000,10405.07
2024-07-03 13:13:35.141097,get,0.031995,2.1.celestial:8000,10438.097
2024-07-03 13:13:36.108710,put,0.018212,2.1.celestial:8000,11405.71
2024-07-03 13:13:36.127985,get,0.017672,2.1.celestial:8000,11424.985
2024-07-03 13:13:37.108289,put,0.016666,2.1.celestial:8000,12405.289
2024-07-03 13:13:37.140054,get,0.030618,2.1.celestial:8000,12437.054
2024-07-03 13:13:38.122433,put,0.029971,2.1.celestial:8000,13419.433
2024-07-03 13:13:38.142060,get,0.018413,2.1.celestial:8000,13439.06
2024-07-03 13:13:39.120354,put,0.026783,2.1.celestial:8000,14417.354
2024-07-03 13:13:39.154009,get,0.030226,2.1.celestial:8000,14451.009
2024-07-03 13:13:40.125604,put,0.03118,2.1.celestial:8000,15422.604
2024-07-03 13:13:40.166716,get,0.039865,2.1.celestial:8000,15463.716
2024-07-03 13:13:41.112359,put,0.017417,2.1.celestial:8000,16409.359
2024-07-03 13:13:41.132906,get,0.01707,2.1.celestial:8000,16429.906
2024-07-03 13:13:42.112629,put,0.016964,2.1.celestial:8000,17409.629
2024-07-03 13:13:42.145407,get,0.031675,2.1.celestial:8000,17442.407
2024-07-03 13:13:43.114411,put,0.01762,2.1.celestial:8000,18411.411
2024-07-03 13:13:43.148970,get,0.03335,2.1.celestial:8000,18445.97
2024-07-03 13:13:44.114466,put,0.016769,2.1.celestial:8000,19411.466
2024-07-03 13:13:44.133105,get,0.017562,2.1.celestial:8000,19430.105
2024-07-03 13:13:45.115936,put,0.017435,2.1.celestial:8000,20412.936
2024-07-03 13:13:45.143029,get,0.02602,2.1.celestial:8000,20440.029
2024-07-03 13:13:46.117854,put,0.018294,2.1.celestial:8000,21414.854
