time,gst,sat,delay,time_ms
2024-07-03 13:13:04.132,redmond,1-2,2776.0,-20571.0
2024-07-03 13:13:24.748,redmond,1-2,2776.0,45.0
2024-07-03 13:13:24.779,redmond,1-2,2776.0,76.0
2024-07-03 13:13:24.819,redmond,1-2,2776.0,116.0
2024-07-03 13:13:24.855,redmond,1-2,2776.0,152.0
2024-07-03 13:13:24.891,redmond,1-2,2776.0,188.0
2024-07-03 13:13:24.927,redmond,1-2,2776.0,224.0
2024-07-03 13:13:24.963,redmond,1-2,2776.0,260.0
2024-07-03 13:13:24.999,redmond,1-2,2776.0,296.0
2024-07-03 13:13:25.035,redmond,1-2,2776.0,332.0
2024-07-03 13:13:25.073,redmond,1-2,2776.0,370.0
2024-07-03 13:13:25.110,redmond,1-2,2776.0,407.0
2024-07-03 13:13:25.147,redmond,1-2,2776.0,444.0
2024-07-03 13:13:25.183,redmond,1-2,2776.0,480.0
2024-07-03 13:13:25.219,redmond,1-2,2776.0,516.0
2024-07-03 13:13:25.256,redmond,1-2,2776.0,553.0
2024-07-03 13:13:25.292,redmond,1-2,2776.0,589.0
2024-07-03 13:13:25.329,redmond,1-2,2776.0,626.0
2024-07-03 13:13:25.366,redmond,1-2,2776.0,663.0
2024-07-03 13:13:25.403,redmond,1-2,2776.0,700.0
2024-07-03 13:13:25.439,redmond,1-2,2776.0,736.0
2024-07-03 13:13:25.475,redmond,1-2,2776.0,772.0
2024-07-03 13:13:25.504,redmond,1-2,2776.0,801.0
2024-07-03 13:13:25.534,redmond,1-2,2776.0,831.0
2024-07-03 13:13:25.564,redmond,1-2,2776.0,861.0
2024-07-03 13:13:25.593,redmond,1-2,2776.0,890.0
2024-07-03 13:13:25.622,redmond,1-2,2776.0,919.0
2024-07-03 13:13:25.651,redmond,1-2,2776.0,948.0
2024-07-03 13:13:25.680,redmond,1-2,2776.0,977.0
2024-07-03 13:13:25.709,redmond,1-2,2776.0,1006.0
2024-07-03 13:13:25.738,redmond,1-2,2776.0,1035.0
2024-07-03 13:13:25.767,redmond,1-2,2776.0,1064.0
2024-07-03 13:13:25.796,redmond,1-2,2776.0,1093.0
2024-07-03 13:13:25.834,redmond,1-2,2776.0,1131.0
2024-07-03 13:13:25.874,redmond,1-2,2776.0,1171.0
2024-07-03 13:13:25.910,redmond,1-2,2776.0,1207.0
2024-07-03 13:13:25.946,redmond,1-2,2776.0,1243.0
2024-07-03 13:13:25.976,redmond,1-2,2776.0,1273.0
2024-07-03 13:13:26.005,redmond,1-2,2776.0,1302.0
2024-07-03 13:13:26.034,redmond,1-2,2776.0,1331.0
2024-07-03 13:13:26.064,redmond,1-2,2776.0,1361.0
2024-07-03 13:13:26.092,redmond,1-2,2776.0,1389.0
2024-07-03 13:13:26.122,redmond,1-2,2776.0,1419.0
2024-07-03 13:13:26.152,redmond,1-2,2776.0,1449.0
2024-07-03 13:13:26.181,redmond,1-2,2776.0,1478.0
2024-07-03 13:13:26.210,redmond,1-2,2776.0,1507.0
2024-07-03 13:13:26.239,redmond,1-2,2776.0,1536.0
2024-07-03 13:13:26.268,redmond,1-2,2776.0,1565.0
2024-07-03 13:13:26.297,redmond,1-2,2776.0,1594.0
2024-07-03 13:13:26.327,redmond,1-2,2776.0,1624.0
2024-07-03 13:13:26.356,redmond,1-2,2776.0,1653.0
2024-07-03 13:13:26.385,redmond,1-2,2776.0,1682.0
2024-07-03 13:13:26.415,redmond,1-2,2776.0,1712.0
2024-07-03 13:13:26.444,redmond,1-2,2776.0,1741.0
2024-07-03 13:13:26.473,redmond,1-2,2776.0,1770.0
2024-07-03 13:13:26.503,redmond,1-2,2776.0,1800.0
2024-07-03 13:13:26.532,redmond,1-2,2776.0,1829.0
2024-07-03 13:13:26.562,redmond,1-2,2776.0,1859.0
2024-07-03 13:13:26.591,redmond,1-2,2776.0,1888.0
2024-07-03 13:13:26.620,redmond,1-2,2776.0,1917.0
2024-07-03 13:13:26.650,redmond,1-2,2776.0,1947.0
2024-07-03 13:13:26.680,redmond,1-2,2776.0,1977.0
2024-07-03 13:13:26.709,redmond,1-2,2776.0,2006.0
2024-07-03 13:13:26.738,redmond,1-2,2776.0,2035.0
2024-07-03 13:13:26.767,redmond,1-2,2776.0,2064.0
2024-07-03 13:13:26.796,redmond,1-2,2776.0,2093.0
2024-07-03 13:13:26.825,redmond,1-2,2776.0,2122.0
2024-07-03 13:13:26.855,redmond,1-2,2776.0,2152.0
2024-07-03 13:13:26.885,redmond,1-2,2776.0,2182.0
2024-07-03 13:13:26.914,redmond,1-2,2776.0,2211.0
2024-07-03 13:13:26.944,redmond,1-2,2776.0,2241.0
2024-07-03 13:13:26.975,redmond,1-2,2776.0,2272.0
2024-07-03 13:13:27.004,redmond,1-2,2776.0,2301.0
2024-07-03 13:13:27.033,redmond,1-2,2776.0,2330.0
2024-07-03 13:13:27.061,redmond,1-2,2776.0,2358.0
2024-07-03 13:13:27.090,redmond,1-2,2776.0,2387.0
2024-07-03 13:13:27.119,redmond,1-2,2776.0,2416.0
2024-07-03 13:13:27.148,redmond,1-2,2776.0,2445.0
2024-07-03 13:13:27.177,redmond,1-2,2776.0,2474.0
2024-07-03 13:13:27.206,redmond,1-2,2776.0,2503.0
2024-07-03 13:13:27.235,redmond,1-2,2776.0,2532.0
2024-07-03 13:13:27.264,redmond,1-2,2776.0,2561.0
2024-07-03 13:13:27.293,redmond,1-2,2776.0,2590.0
2024-07-03 13:13:27.323,redmond,1-2,2776.0,2620.0
2024-07-03 13:13:27.352,redmond,1-2,2776.0,2649.0
2024-07-03 13:13:27.382,redmond,1-2,2776.0,2679.0
2024-07-03 13:13:27.412,redmond,1-2,2776.0,2709.0
2024-07-03 13:13:27.442,redmond,1-2,2776.0,2739.0
2024-07-03 13:13:27.472,redmond,1-2,2776.0,2769.0
2024-07-03 13:13:27.502,redmond,1-2,2776.0,2799.0
2024-07-03 13:13:27.532,redmond,1-2,2776.0,2829.0
2024-07-03 13:13:27.561,redmond,1-2,2776.0,2858.0
2024-07-03 13:13:27.590,redmond,1-2,2776.0,2887.0
2024-07-03 13:13:27.620,redmond,1-2,2776.0,2917.0
2024-07-03 13:13:27.650,redmond,1-2,2776.0,2947.0
2024-07-03 13:13:27.680,redmond,1-2,2776.0,2977.0
2024-07-03 13:13:27.710,redmond,1-2,2776.0,3007.0
2024-07-03 13:13:27.739,redmond,1-2,2776.0,3036.0
2024-07-03 13:13:27.769,redmond,1-2,2776.0,3066.0
2024-07-03 13:13:27.799,redmond,1-2,2776.0,3096.0
2024-07-03 13:13:27.829,redmond,1-2,2776.0,3126.0
2024-07-03 13:13:27.859,redmond,1-2,2776.0,3156.0
2024-07-03 13:13:27.889,redmond,1-2,2776.0,3186.0
2024-07-03 13:13:27.919,redmond,1-2,2776.0,3216.0
