time,log_type,sat,time_ms
2024-07-04 07:43:09.141,deploy_start,1-2,-22260.0
2024-07-04 07:43:31.419,deploy_complete,1-2,18.0
2024-07-04 07:43:31.441,switch_redmond,2.1.celestial,40.0
2024-07-04 07:46:01.433,deploy_start,1-1,150032.0
2024-07-04 07:46:20.405,deploy_complete,1-1,169004.0
2024-07-04 07:46:41.225,undeploy_start,1-2,189824.0
2024-07-04 07:46:41.254,switch_redmond,1.1.celestial,189853.0
2024-07-04 07:46:42.410,undeploy_complete,1-2,191009.0
2024-07-04 07:50:30.413,deploy_start,1-0,419012.0
2024-07-04 07:50:50.594,deploy_complete,1-0,439193.0
2024-07-04 07:51:12.210,undeploy_start,1-1,460809.0
2024-07-04 07:51:12.237,switch_redmond,0.1.celestial,460836.0
2024-07-04 07:51:13.394,undeploy_complete,1-1,461993.0
2024-07-04 07:55:00.606,deploy_start,1-21,689205.0
2024-07-04 07:55:19.748,deploy_complete,1-21,708347.0
2024-07-04 07:55:36.231,undeploy_start,1-0,724830.0
2024-07-04 07:55:36.232,switch_redmond,21.1.celestial,724831.0
2024-07-04 07:55:37.411,undeploy_complete,1-0,726010.0
